企业名称,工作地址,招聘主页,经纬度
深圳前海大数金融服务有限公司,广州天河区珠江新城珠江新城花城大道20号广州远洋大厦,https://www.lagou.com/jobs/4567181.html,"113.3245464379752,23.12475981662409"
北京联盛世纪科技发展有限公司,广州天河区林和林和中路285号天安人寿1802,https://www.lagou.com/jobs/3959380.html,"113.33512803221801,23.150447761070126"
广州华多网络科技有限公司,广州番禺区广州市番禺区南村镇万博商务区万达商业广场北区B1栋,https://www.lagou.com/jobs/4014300.html,"113.38385206557157,23.009998610192387"
广州小马信息科技有限公司,广州黄埔区科学城国际企业孵化器E栋206,https://www.lagou.com/jobs/3499150.html,"113.4219994750067,23.164411195340815"
广州智悦网络科技有限公司,广州天河区棠下中山大道建中路59号柏朗奴大厦3楼,https://www.lagou.com/jobs/4523759.html,"113.37797940138678,23.129376081889607"
广州中大凯旋电子科技有限公司,广州番禺区大学城小谷围街青蓝街26号研发楼2楼（地铁4号线C出口，招商证券楼上）,https://www.lagou.com/jobs/4337962.html,"113.39290991717834,23.062834339484247"
广州九尾信息科技有限公司,广州番禺区大学城广州市番禺区小谷围青蓝街26号研发楼13层,https://www.lagou.com/jobs/2664322.html,"113.39290991717834,23.062834339484247"
东莞市搜于特信息科技有限公司,广州海珠区南洲广州大道南1601号洋湾岛创意园A53,https://www.lagou.com/jobs/3837214.html,"113.32177807958091,23.079101841489905"
广东以大供应链管理有限公司,广州天河区元岗元岗路310号智汇parkB栋,https://www.lagou.com/jobs/2803572.html,"113.34801799763753,23.180424741621675"
信必优(深圳)信息技术有限公司,广州天河区天河城太古汇,https://www.lagou.com/jobs/4782383.html,"113.33912451887123,23.14007345064082"
江苏润和软件股份有限公司,广州越秀区东风东环市东路500.,https://www.lagou.com/jobs/4882406.html,"113.28834499991822,23.1439470152046"
氪金信息科技（天津）有限公司,广州天河区沙河广州市天河区中山大道379号联合社区东区6号楼517518,https://www.lagou.com/jobs/3157521.html,"113.40949136219155,23.131251201075678"
广州市骑鹅游信息技术咨询服务有限公司,广州海珠区客村新港东路1022号保利世贸中心E座,https://www.lagou.com/jobs/2712500.html,"113.3740576735147,23.101505051371312"
美的集团股份有限公司,广州番禺区广州南站美的总部大楼,https://www.lagou.com/jobs/4508918.html,"113.3039306005112,23.050723696301475"
广州富力地产股份有限公司,广州天河区珠江新城珠江新城华夏路10号富力中心35楼,https://www.lagou.com/jobs/4266065.html,"113.3283178443016,23.123282238767167"
广东以大供应链管理有限公司,广州天河区元岗路310号智汇parkB栋,https://www.lagou.com/jobs/3214480.html,"113.34801799763753,23.180424741621675"
恒峰信息技术有限公司,广州萝岗区科学大道231号总部经济区A9栋8~11楼全层,https://www.lagou.com/jobs/4874493.html,"113.4656115032302,23.178342539777823"
西安西点信息技术有限公司,广州天河区珠江新城陶育路121号802,https://www.lagou.com/jobs/4841682.html,"113.35084804446778,23.13592456165246"
白云电气集团有限公司,广州白云区太和北太路1633号白云电气科技大厦,https://www.lagou.com/jobs/4070106.html,"113.3419322302333,23.304452832654093"
广州云湾信息技术有限公司,广州海珠区江海新港东路28号M+创工场6号楼2F,https://www.lagou.com/jobs/3056668.html,"113.34459096853458,23.103640808345666"
广州市卓越里程教育科技股份有限公司,广州越秀区建设中山四路246号信德商务大厦,https://www.lagou.com/jobs/4502804.html,"113.27770464661371,23.132622852319347"
北京非常满意科技有限公司,广州天河区五山中山大道西89号天河软件园（华景园区）A栋9楼南908室,https://www.lagou.com/jobs/4377348.html,"113.36616215198318,23.146418116447627"
武汉屈臣氏个人用品商店有限公司广州分公司,广州市越秀区东风东风东路761号丽丰中心33楼,https://www.lagou.com/jobs/3359999.html,"113.31592050423376,23.138508682186952"
广州影子控股股份有限公司,广州天河区兴华粤垦路607号力达广场A2座6层,https://www.lagou.com/jobs/4558160.html,"113.33457006502188,23.162617132464693"
广州汇电云联互联网科技有限公司,广州天河区珠江新城马场路16号富力盈盛广场B座,https://www.lagou.com/jobs/4694515.html,"113.35048079202288,23.123848177245467"
北京开科唯识技术有限公司,广州荔湾区岭南广州佛山市南海区灯湖东路6号,https://www.lagou.com/jobs/3888606.html,"113.15645614430905,23.065536791307306"
广州市高奈特网络科技有限公司,广州荔湾区广州市荔湾区浣花路109号东鹏德宝商务中心10层,https://www.lagou.com/jobs/3293786.html,"113.23740526188944,23.08839547031864"
广州石竹计算机软件有限公司,广州天河区龙口龙口东路342360号天诚广场三楼303、304,https://www.lagou.com/jobs/2926501.html,"113.34752662182883,23.1484908685455"
铂涛信息技术（广州）有限公司,广州海珠区瑞宝新滘西路300号铂涛大厦,https://www.lagou.com/jobs/4765968.html,"113.29310608289924,23.080328715433502"
武汉佰钧成技术有限责任公司,广州天河区天河软件园建中路60号科迅大厦首层,https://www.lagou.com/jobs/3287419.html,"113.37689148604164,23.12932223793473"
广州汇电云联互联网科技有限公司,广州天河区珠江新城马场路16号富力盈盛广场B座,https://www.lagou.com/jobs/3423608.html,"113.35048079202288,23.123848177245467"
武汉然诺管理咨询有限公司,广州天河区科韵路软件园,https://www.lagou.com/jobs/4895861.html,"113.37996933853151,23.104212228430967"
广州博鳌纵横网络科技有限公司,广州萝岗区经济开发区科学大道231233号A9A10栋14楼,https://www.lagou.com/jobs/3911243.html,"113.42236948704614,23.17259957011846"
广东亿迅科技有限公司,广州越秀区广州大道中599号泰兴商业大厦10楼,https://www.lagou.com/jobs/4164839.html,"113.32083039691227,23.142968059982035"
航天精一（广东）信息科技有限公司,广州天河区员村科韵路建工路9号502518,https://www.lagou.com/jobs/3741181.html,"113.3789090002672,23.12933701106305"
信必优(深圳)信息技术有限公司,广州天河区体育中心太古汇,https://www.lagou.com/jobs/4637348.html,"113.33912451887123,23.14007345064082"
广州惠侨计算机科技有限公司,广州市越秀区沙河富力东山新天地10楼,https://www.lagou.com/jobs/3676204.html,"113.32106218488632,23.132816560920993"
广州市高奈特网络科技有限公司,广州荔湾区广州市荔湾区浣花路109号东鹏德宝商务中心10层,https://www.lagou.com/jobs/3448567.html,"113.23740526188944,23.08839547031864"
广州创想世界网络科技有限公司,广州番禺区大石保利大都汇A3栋,https://www.lagou.com/jobs/4576580.html,"113.34135164550102,23.001696178926228"
广州珺达科技有限公司,广州天河区东圃祥圃街11祥圃商业大厦1楼113115,https://www.lagou.com/jobs/4913769.html,"113.38945675534147,23.137940369016583"
广东链动网络科技有限公司,广州海珠区广州国际采购中心东翼718,https://www.lagou.com/jobs/4311608.html,"113.37836349077187,23.105314085946546"
益邦控股集团有限公司,广州白云区黄石机场路1962号国际单位F栋310312室,https://www.lagou.com/jobs/3796096.html,"113.27090286414195,23.212163683000508"
广东健客医药有限公司,广州萝岗区萝岗区科学大道中99号科汇金谷S栋四街4号一楼前台大厅,https://www.lagou.com/jobs/4122207.html,"113.44182679067397,23.17311652254065"
武汉佰钧成技术有限责任公司,广州越秀区东风东东宝大厦,https://www.lagou.com/jobs/4788471.html,"113.31793323138926,23.137846292935574"
铂涛信息技术（广州）有限公司,广州海珠区广州市海珠区新滘西路300号铂涛大厦六楼,https://www.lagou.com/jobs/4216628.html,"113.29310608289924,23.080328715433502"
广东天泽阳光康众医疗投资管理有限公司,广州海珠区琶洲琶洲大道东1号保利国际广场南塔508,https://www.lagou.com/jobs/2600760.html,"113.37823214413346,23.108244702616513"
广州市两棵树网络科技有限公司,广州天河区员村广州市天河区黄埔大道中309号，羊城创意园305栋,https://www.lagou.com/jobs/4505888.html,"113.38902592622242,23.12551489262371"
广州云徙科技有限公司,广州黄埔区鱼珠大沙地西鱼珠智谷创业园A102栋（锦田花园旁）地铁鱼珠站C出口,https://www.lagou.com/jobs/4744273.html,"113.4359453087223,23.104386768549677"
白云电气集团有限公司,广州白云区太和北太路1633号白云电气科技大厦,https://www.lagou.com/jobs/4117530.html,"113.3419322302333,23.304452832654093"
深圳前海大数金融服务有限公司,广州天河区珠江新城珠江新城花城大道20号广州远洋大厦,https://www.lagou.com/jobs/4566962.html,"113.3245464379752,23.12475981662409"
上海华钦信息科技股份有限公司,广州天河区冼村富力盈凯大厦,https://www.lagou.com/jobs/4854497.html,"113.32854452540883,23.124556570835523"
广州机智云物联网科技有限公司,广州天河区兴华天平架陶庄路5号众创空间8楼,https://www.lagou.com/jobs/4648948.html,"113.3273601068994,23.168568125033335"
广州探迹科技有限公司,广州番禺区大学城数字家庭研发中心一期研发大厦,https://www.lagou.com/jobs/3606318.html,"113.40085066839228,23.064408982302982"
广州李子网络科技有限公司,广州天河区沙河珠江新城花城大道68号4706,https://www.lagou.com/jobs/2200950.html,"113.33404893014824,23.12416688896421"
广州微乾软件信息科技有限公司,广州越秀区岭南珠江新城临江大道保利中心,https://www.lagou.com/jobs/4912652.html,"113.33349096564702,23.125725693998607"
广东以大供应链管理有限公司,广州天河区元岗元岗路310号智汇parkB栋,https://www.lagou.com/jobs/4779907.html,"113.34801799763753,23.180424741621675"
广州市玄武无线科技股份有限公司,广州天河区天河城体育西路103号维多利广场B塔19、32、33层,https://www.lagou.com/jobs/4296684.html,"113.32725007255921,23.14083300479381"
益邦控股集团有限公司,广州白云区黄石机场路1962号国际单位F栋310312室,https://www.lagou.com/jobs/4517482.html,"113.27090286414195,23.212163683000508"
武汉佰钧成技术有限责任公司,广州天河区科韵路园区建中路60号科迅大厦,https://www.lagou.com/jobs/4746110.html,"113.37689148604164,23.12932223793473"
上海华钦信息科技股份有限公司,广州越秀区东风东东宝大厦,https://www.lagou.com/jobs/4781410.html,"113.31793323138926,23.137846292935574"
广州玖维信息科技有限公司,广州天河区天河城天河路,https://www.lagou.com/jobs/4182042.html,"113.32917331860459,23.13875698808512"
广州中大凯旋电子科技有限公司,广州番禺区大学城小谷围街青蓝街26号研发楼2楼（地铁4号线C出口，招商证券楼上）,https://www.lagou.com/jobs/3113954.html,"113.39290991717834,23.062834339484247"
广州维胜信息技术有限公司,广州天河区元岗路智汇Park创意园B座505506,https://www.lagou.com/jobs/4155686.html,"113.38341586997541,23.142236491023628"
广州汇电云联互联网科技有限公司,广州天河区珠江新城马场路16号富力盈盛广场B座,https://www.lagou.com/jobs/4783033.html,"113.35048079202288,23.123848177245467"
广东俊特团贷网络信息服务股份有限公司,广州天河区冼村珠江新城花城大道68号环球都会广场63楼03,https://www.lagou.com/jobs/4811826.html,"113.3336726407499,23.124064864415796"
广州好易电子联行服务有限公司,广州番禺区大学城小谷围街道青蓝街26号研发楼6楼地铁4号线大学城北站地铁口,https://www.lagou.com/jobs/2241746.html,"113.39290991717834,23.062834339484247"
广州市昊链信息科技股份有限公司,广州天河区元岗南路天汇创意园区D栋2楼,https://www.lagou.com/jobs/4848413.html,"113.34872002339335,23.178283631651958"
佛山市宝诗龙精密五金有限公司,广州天河区天河北体育西路189号城建大厦,https://www.lagou.com/jobs/4816720.html,"113.32742016041935,23.145062808731684"
信必优(深圳)信息技术有限公司,广州天河区天河城太古汇,https://www.lagou.com/jobs/4620362.html,"113.33912451887123,23.14007345064082"
广州至真信息科技有限公司,广州天河区中山大道建工路4号佳都大厦,https://www.lagou.com/jobs/4862969.html,"113.37884264423582,23.130468280587273"
广州天源迪科信息技术有限公司,广州天河区珠江新城花城大道18号建滔广场22楼01单元,https://www.lagou.com/jobs/4912189.html,"113.32378564597124,23.12484028296588"
广州米美科技有限公司,广州天河区金穗路8号星汇国际大厦1202室,https://www.lagou.com/jobs/4722128.html,"113.32294544465854,23.1294947470593"
广东原动力信息科技有限责任公司,广州天河区珠江新城珠江新城临江大道57号中和广场21楼21B单元,https://www.lagou.com/jobs/4134891.html,"113.335413728404,23.119783465694013"
武汉佰钧成技术有限责任公司,广州天河区建中路天河软件园,https://www.lagou.com/jobs/4613031.html,"113.37833949164187,23.130139320112114"
上海华钦信息科技股份有限公司,广州越秀区东风东越秀区东风东路767号东宝大厦,https://www.lagou.com/jobs/4581156.html,"113.31793323138926,23.137846292935574"
信必优(深圳)信息技术有限公司,广州天河区天河城太古汇,https://www.lagou.com/jobs/4877191.html,"113.33912451887123,23.14007345064082"
美的集团股份有限公司,广州番禺区广州南站美的总部大楼,https://www.lagou.com/jobs/4734363.html,"113.3039306005112,23.050723696301475"
航天精一（广东）信息科技有限公司,广州天河区员村科韵路建工路9号502518,https://www.lagou.com/jobs/3759540.html,"113.3789090002672,23.12933701106305"
氪金信息科技（天津）有限公司,广州天河区车陂中山大道中379号联合社区东区6栋楼5层65176518室,https://www.lagou.com/jobs/4768411.html,"113.40949136219155,23.131251201075678"
广州和本健康食品科技股份有限公司,广州天河区光谱西路69号TCL文化产业园一期一楼100,https://www.lagou.com/jobs/4491923.html,"113.44278114415931,23.16586140403864"
广东壹健康科技有限公司,广州天河区中山大道中1101号绿瘦运营中心B栋2楼,https://www.lagou.com/jobs/4312511.html,"113.43076099179532,23.12161823767066"
深圳无界互联科技有限公司,广州番禺区市桥番禺大道天安科技发展大厦714,https://www.lagou.com/jobs/4780111.html,"113.37440087113467,22.984716717987798"
深圳超桌网络科技有限公司,广州天河区林和中信广场资讯商务中心(中天购物城)5楼B19,https://www.lagou.com/jobs/4883592.html,"113.33131690282197,23.14795797510584"
链行天下（广州）区块链研究有限公司,广州越秀区广卫珠江国际大厦17层,https://www.lagou.com/jobs/4858312.html,"113.27407463267625,23.135934180802046"
广州富力地产股份有限公司,广州天河区华夏路10号,https://www.lagou.com/jobs/3116450.html,"113.32829065978028,23.123088424840574"
北京友友天宇系统技术有限公司,广州越秀区岭南文明路49号警察协会9层,https://www.lagou.com/jobs/4836581.html,"113.27696514894187,23.128217553648273"
蓝盾信息安全技术股份有限公司,广州天河区棠下黄埔大道336号御发商务大厦,https://www.lagou.com/jobs/1023751.html,"113.38039436549526,23.125454288678625"
佛山市宝诗龙精密五金有限公司,广州天河区沙河珠江新城冼村路11号保利威座北塔2902,https://www.lagou.com/jobs/4720485.html,"113.33373451244019,23.12759195120082"
武汉佰钧成技术有限责任公司,广州天河区科韵路园区建中路60号科迅大厦,https://www.lagou.com/jobs/4090102.html,"113.37689148604164,23.12932223793473"
上海华钦信息科技股份有限公司,广州天河区天河城太古汇,https://www.lagou.com/jobs/3610275.html,"113.33912451887123,23.14007345064082"
广州智悦网络科技有限公司,广州天河区棠下中山大道建中路59号柏朗奴大厦3楼,https://www.lagou.com/jobs/4523772.html,"113.37797940138678,23.129376081889607"
浙江星飞信息技术有限公司,广州天河区棠下棠下二社新围中心路26号锦达信商务大厦A座305,https://www.lagou.com/jobs/3440940.html,"113.38321875030589,23.129452761110688"
广州市汇聚支付电子科技有限公司,广州天河区体育中心天河路228号广晟大厦11011104室,https://www.lagou.com/jobs/4234281.html,"113.33426615389506,23.138373850068106"
广东开太平信息科技有限责任公司,广州海珠区新滘中路唯品同创汇艾特利微大街2号,https://www.lagou.com/jobs/4879215.html,"113.33889140769317,23.083671452619317"
广州一智通供应链管理有限公司,广州天河区兴华天平架5号空间创意园7楼,https://www.lagou.com/jobs/4399388.html,"113.32583083968449,23.168205427349385"
广东优计划科技有限公司,广州天河区龙口西路1号保利中辰广场A座15楼,https://www.lagou.com/jobs/3803665.html,"113.34350938701326,23.139800392325988"
广州闻乐教育科技有限公司,广州天河区棠下科韵路天河软件园建工路13号703室,https://www.lagou.com/jobs/4913066.html,"113.37875351436315,23.12884680105434"
氪金信息科技（天津）有限公司,广州天河区车陂广州市天河区中山大道中379号联合社区东区6栋楼5层65176518室,https://www.lagou.com/jobs/4643630.html,"113.40949136219155,23.131251201075678"
广东道一信息技术股份有限公司,广州天河区天河公园员村一横路3号华颖轩2楼,https://www.lagou.com/jobs/3405970.html,"113.35927726906533,23.12856816178862"
广州德惟科技有限公司,广州天河区平云路163号平云广场A塔,https://www.lagou.com/jobs/4631385.html,"113.35713325815281,23.12473007948776"
广州华多网络科技有限公司,广州番禺区广州市番禺区南村镇万博商务区万达商业广场北区B1栋,https://www.lagou.com/jobs/4682857.html,"113.38385206557157,23.009998610192387"
